iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
KNA,LCN,St. Kitts and Nevis,HIC,858344680,27.2,8.1,8.8,12.2,20.5,23.2,,,,Yes,Yes,Yes,No,Yes,54288,,,700,,,,32892.14,,,,,,,95,,,,,,,,100,,,,,,,,,Disposal site
KOR,EAS,"Korea, Rep.",HIC,1.30595E+12,30,2.5,2.6,,41,24.3,,,,Yes,Yes,Yes,Yes,,50746659,,68119600,570635,,3.98E+07,,18218975,,,,,,,99.92,99.9,,,,,,1,,25,16,,,58,,,,
KWT,MEA,Kuwait,HIC,1.42857E+11,45,4,2,8,20,20,,1,1,No,Yes,Yes,,,2998083,,1.15E+06,6.70E+04,2.03E+05,7.00E+03,3.30E+04,1.75E+06,,,,,,,100,,,,,,,,,,,100,,,,,,Disposal Site
LAO,EAS,Lao PDR,LMC,11102149875,16.9,9.3,3.7,20.3,2.8,6.1,1.1,38.2,1.2,None,Yes,Yes,Yes,,6663967,,,7500,5200,49500,1200,351900,,,,35,,,,55,,,,60,,,30,,,60,,10,,,,At disposal site
LBN,MEA,Lebanon,UMC,42911390492,52.5,3.5,5.5,11,16,11.5,,,,No,Yes,No,No,No,5603279,,,5.10E+04,4.60E+04,,5568,2.04E+06,,,99,,,,,,,,100,,,15,48,,,29,,8,,,,Source
LBR,SSF,Liberia,LIC,1627046588,,,,,,,,,,,Yes,Yes,Yes,,3512932,,,,,,,564466.7,,,,,,,,,,,,,,,,,,,,,,,,
LBY,MEA,Libya,UMC,36808842591,70.1,3.1,4.3,3.8,5.5,7.5,,2.5,,No,Yes,No,,,6193501,,3641150,7.00E+04,,,,2147596.472,,,,,,,,,,,,,,,,,,,,,,,,
LCA,LCN,St. Lucia,UMC,1489854701,45,7,5,11,10,22,,,,Yes,Yes,Yes,Yes,Yes,177206,,,1600,2732,,49.63,77616.228,,,,,,96.8,100,,,,,,,0.1,96.8,,,,2.6,,,0.5,,Disposal site
LIE,ECS,Liechtenstein,HIC,,37.6,5,12.5,9.1,30.3,5.4,,,,,Yes,Yes,No,,36545,2612,513728,293,1204,,127,32382,,,,,,,100,,,,,,,,,,,,,64.6,,35.4,,
LKA,SAS,Sri Lanka,LMC,79907042295,62,2,3,13,7,7,,6,,Yes,Yes,Yes,No,Yes,2.12E+07,,65700,72.5,,5.30E+04,9855,2631650,,,,,,,,,,,,,,5,,,,85,,12.79,,,,Databases
LSO,SSF,Lesotho,LMC,2980616573,,,,,,,,,,,,,,,1965662,,,1800,,,,73457,,0.97,,,,4.22,20,,,11.76,,,,,,,,,,,,,,
LTU,ECS,Lithuania,HIC,45735444769,40.4,8.65,2.75,44.05,10.05,10.15,,0.6,,No,Yes,Yes,Yes,,2904910,551038,3011590,82691,165477,,70124,1.30E+06,,,90,,,,,98.69,,,96,,,10.15,,11.54,54,,,22.92,,1.39,,
LUX,ECS,Luxembourg,HIC,63207264513,30,4,2,27,19,18,,,,Yes,Yes,Yes,No,,569604,95427,6272673,7398,237180,,47825,3.56E+05,,,,,,,,100,,,,,,19.66,,33.99,17.7,,,28.37,,0.28,,
LVA,ECS,Latvia,HIC,28871503534,46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,,,Yes,Yes,Yes,Yes,1977527,105480,671423,25071,104142,,65624,8.57E+05,,,,,,,,84.36,,,,,,5.48,,,57.64,,,21.23,,15.65,,
MAC,EAS,"Macao SAR, China",HIC,31920853732,3.1,3.3,1.7,3.1,58.7,7.9,,22.3,,Yes,Yes,Yes,Yes,Yes,612167,,5.20E+04,1.10E+04,3118,,11493,377942,,,,,,,100,,,,,,,,,,,,,20,,80,,
MAF,LCN,St. Martin (French part),HIC,,,,,,,,,,,,,Yes,Yes,Yes,30959,,,,,,,15479.5,,,,,,,,,,,,,,,,,,,,,,,,
MAR,MEA,Morocco,LMC,1.14784E+11,60,2,2.5,6,9,8,,,,No,No,Yes,Yes,Yes,34318082,,7.00E+06,30300,289385,1599710.62,2.10E+04,6.85E+06,,,,,,,,,,,85,,,1,,,,52,2,8,37,,,Disposal site
MCO,ECS,Monaco,HIC,,,3,2.2,,2.2,1,,,,Yes,Yes,Yes,Yes,Yes,37783,,,,312.07,,,4.60E+04,,,,,,,100,,,,,,,,,85,,,,5.4,,9.6,,
MDA,ECS,Moldova,LMC,7354798041,55,4,3,23,5,10,,,,No,Yes,Yes,Yes,Yes,3554108,,1.40E+06,6300,418,2841700,15700,3981200,,,,,,,,,,,,,,,,,,35.08,,15.32,,49.6,,Other
MDG,SSF,Madagascar,LIC,10356200861,,,,,,,,,,,,Yes,Yes,,24894551,,,1.40E+04,45957,,,3768759.16,,,,,,,17.7,,,,,,,3.5,,,,96.7,,,,,,
MDV,SAS,Maldives,UMC,3600398618,24,,1,1,6,3,,,65,No,Yes,Yes,No,Yes,409163,,6161.2,3003.95,15105.525,,1737.4,211505.78,,,,,,,38.2,,,,,,,7,,6,,,24,,,,63,Ministry forecast
MEX,LCN,Mexico,UMC,1.25904E+12,52.4,5.9,3.4,12.1,13.8,10.9,,,,Yes,,Yes,Yes,,125890949,,6.00E+06,957900,18172.49,,978.06,5.31E+07,,,,,,,,93.4,,,,,,,,,,21,,5,74.5,,,
MHL,EAS,Marshall Islands,UMC,179041793.9,8,2,6,31,11,13,,,29,,Yes,Yes,None,,52793,,,,,,43.16,8614,,,,,,,49,,,,66,,,6,,,,,,30.8,,63.2,,
MKD,ECS,"Macedonia, FYR",UMC,10924716122,29.3,4.1,2.5,19.8,12.8,13.9,0.9,0.7,16,Yes,Yes,Yes,Yes,,2081206,91933,121551,1220,40797,,951293,796585,,,,,,,73,76.61,,,,,,0.1,,,99.72,,,0.18,,,,Disposal Site
MLI,SSF,Mali,LIC,13421822111,17.5,1,3.5,72.5,3.5,2,,,,,,,Yes,,16006670,,,1.20E+04,,,,1937354.44,,,,,,,,,,,,,,,,,,,,,,,,
MLT,MEA,Malta,HIC,11868476821,52,6,4,9.5,18,12,,,,Yes,Yes,Yes,Yes,,431874,16607,1258426,7643,36523,106235,23418,2.69E+05,,,,,,,,96.65,,,,,,,,0.37,,,,6.69,89.59,3.35,,
MMR,EAS,Myanmar,LMC,74469832820,,,,,,,,,,,Yes,Yes,Yes,,46095462,,,5.50E+04,,54750,648.2,4677306.529,,,,,,,60,,,,,,,,,,,,8,,,92,,Household
MNE,ECS,Montenegro,UMC,4662831376,33.82,8.97,2.9,19.46,13.72,18.42,,2.7,,Yes,Yes,Yes,No,,622159,,92228,6200,3819.21,453791.52,2331.4,3.32E+05,,,,,,,75.9,96.99,,,,,,,,,,91.57,,5.42,,3.01,,
MNG,EAS,Mongolia,LMC,11825367387,22.7,,,50.1,12.7,14.5,,,,,,Yes,Yes,,3027398,,126300,1.40E+04,,81400,967.25,2.90E+06,,,,40,,,,,,,,70,,,,,,93.5,,,,6.5,,
MNP,EAS,Northern Mariana Islands,HIC,1051785360,43.6,5.5,10,9.3,10.9,16.5,4.2,,,,Yes,Yes,,Yes,54036,,,,,,,32761.4145,,,,,,,,,,,,,,,,,,,,36,,64,,
MOZ,SSF,Mozambique,LIC,14846071335,60,,,15,25,,,,,,Yes,Yes,,,27212382,,,1.70E+04,,,,2.50E+06,,,,,,,,52.5,,,,,,,,,,99,,1,,,,
MRT,SSF,Mauritania,LMC,5574151157,4.8,4,4.2,59.7,7.3,20,,,,,,Yes,No,,3506288,,,5100,,,,4.54E+05,,,5,,,,,,,,30,,,,37.3,,,54.7,,8,,,,
MUS,SSF,Mauritius,UMC,12409842083,64,2.8,,8,13,12.4,,,,,,Yes,Yes,,1263473,,,1.10E+04,1.70E+04,,,4.38E+05,,,,,,,98,83.73150685,,,,,,9,,,,,,,91,,,
MWI,SSF,Malawi,LIC,8710223822,,,,,,,,,,,,,,,16577147,,,9500,,,,1297844.48,,,,,,,,,,,,,,,,,,,,,,,,
MYS,EAS,Malaysia,UMC,3.44052E+11,46,3,3,9,14,15,3,7,,No,Yes,Yes,Yes,Yes,30228017,4.20E+07,,2.80E+05,2918478,831835,19500,12982685,,,,,,,,95,,,,,,1,,,71.5,,,17.5,10,,,Landfill
NAM,SSF,Namibia,UMC,14950179757,,,,,,,,,,,,,,,1559983,,,1.40E+04,,,,256729,,,,,,,,,,,,,,,,,,,,4.5,,95.5,,
NCL,EAS,New Caledonia,HIC,,43.6,5.5,10,9.3,10.9,16.5,4.2,,,,,Yes,,,2.78E+05,,,,,,324,108157.384,,,,,,,67,,,,100,,,,,,,,,,,,,
NER,SSF,Niger,LIC,8106889865,38,,1,57,2,2,,,,,,Yes,Yes,,8842415,,,7900,5.54E+05,,,1865645.67,,,,,,,,,,,,,,,,,,64,12,4,,20,,
NGA,SSF,Nigeria,LMC,4.56775E+11,,3.1,,11.3,8,4.8,,,,,,Yes,Yes,,154402181,,,2.77E+05,,,,27614830.07,,,,,,,,,,,,,,,,,40,,60,,,,,
NIC,LCN,Nicaragua,LMC,11955466051,,,,,,,,,,,,Yes,,,5737723,,,10800,2837,,,1528816.293,,,,,,,92.3,,,,,,,,,,19.6,59.3,21.1,,,,,
NLD,ECS,Netherlands,HIC,8.90136E+11,35,5.4,4.3,20.24,21,14,,,,Yes,Yes,Yes,No,,16939923,14718640,96206470,534410,4830495,,2391871,8.86E+06,,,,,,,,100,,,,,,27.1,,47.369,1.412,,,24.61,,,,
NOR,ECS,Norway,HIC,4.72766E+11,15.49,4.6,6.12,13.15,26.57,2.25,,17.21,14.68,Yes,Yes,Yes,Yes,Yes,5188607,399805,3030449,1.50E+05,1.48E+06,4.15E+05,1054590,2.19E+06,,,,,,,99,,,,,,,16.69,,52.35,,,,26.16,3.38,1.42,,
NPL,SAS,Nepal,LIC,19856634053,52.39,4.36,1.9,7.12,18.21,15.14,0.9,,,,Yes,Yes,Yes,,28982771,,,2.30E+04,5051,,13408.27,1768977.49,,,,50,,,,62.3,,,,80,,2.87,,,37,,,,,60.13,,At generator level
NRU,EAS,Nauru,UMC,125930267.7,43.6,5.5,10,9.3,10.9,16.5,4.2,,,,Yes,Yes,No,,13049,,,,,,,6191.7505,,,,,,,100,,,,100,,,,,,,,,,,,,
NZL,EAS,New Zealand,HIC,1.76129E+11,28,4,4.5,37,7,8,1,11,,Yes,Yes,Yes,Yes,Yes,4692700,132.5342,3.00E+06,9.50E+04,,1.75E+06,,3.41E+06,,,,,,,97,,,,,,,,,,100,,,,,,,
OMN,MEA,Oman,HIC,75054356307,27,6,,24,15,21,,2,5,No,Yes,Yes,Yes,,3960925,,735341,5.90E+04,1469835,,4500,1734885.15,,,,,,,,,,,,,,,0.01,,,99.99,,,,,,
PAK,SAS,Pakistan,LMC,2.27867E+11,30,6,4,20,13,9,2,2,14,No,Yes,No,Yes,,193203476,8.21E+07,,3.01E+05,1.54E+06,,2.92E+08,3.08E+07,,,,30,,,,,,,,70,,2,,,40,50,,8,,,,Waste generated in 8 cities
PAN,LCN,Panama,HIC,44789036003,46.4,5.8,3.8,5.7,26.3,12,,,,,,Yes,,,3969249,,,3200,,,3094.7,1472262.215,,,,,,,84.9,,,,,,,,16,,,23.4,18.9,,41.7,,,
PER,LCN,Peru,UMC,1.93653E+11,50.43,3.05,2.64,21.7,7.44,10.52,1.25,,2.97,Yes,Yes,Yes,Yes,Yes,30973354,,,1.82E+05,660180.1793,,7176,8356711.13,,38.2,,,,,82.93,,,95.3,,,,,15.58,,,56.39,,4,24.03,,,
PHL,EAS,Philippines,LMC,2.84349E+11,52.31,2.34,4.22,21.52,8.7,10.55,0.37,,,Yes,Yes,Yes,Yes,Yes,103320222,,,2.90E+05,4332222.32,,,14631922.9,,,,40,,,,,,,,70,,,,,,,,28,,72,,
PLW,EAS,Palau,HIC,225308048.6,26,5,10,9,15,32,1,,2,None,None,Yes,None,Yes,21503,,,200,,,10.92,9426.7455,,,,,,,77,,,,100,,,,,,,,,,,,,
PNG,EAS,Papua New Guinea,LMC,19389192291,31,,,42,16.6,10,,,,None,Yes,Yes,Yes,None,7755785,,,7.00E+03,,,572,1.00E+06,,,,,,,,60,,,,,,,62,,,,37,2,,,,
POL,ECS,Poland,HIC,5.72132E+11,37.27,10.07,2.17,26.69,11.27,12.13,,0.4,,,Yes,Yes,Yes,,37986412,4679634,135184220,224452,1679051,,2486818,1.09E+07,,,,,,,,100,,,,,,16.11,,13.24,44.26,,,26.39,,,,
PRI,LCN,Puerto Rico,HIC,93028633826,13.1,2.4,10.4,23.8,19.4,10.4,,,20.5,,Yes,Yes,Yes,Yes,3473181,,,946.44,4.92,,,4170953,,,,,,,,,,,,,,,,,66.5,,,14,,19.5,,
PRT,ECS,Portugal,HIC,2.31745E+11,36.49,6.73,1.85,27.68,13.64,10.72,,0.93,1.94,Yes,Yes,Yes,Yes,,10401062,183064,2743219,170078,701228,,817492,4.71E+06,,,,,,,,100,,,,,,14.12,,20.68,48.97,,,16.23,,,,
PRY,LCN,Paraguay,UMC,26400622643,,,,,,,,,,,,Yes,,,6639119,,,34200,,,,1818501.365,,,,,,47.2,46.6,,,,,,,,40.2,,,23.4,,,36.4,,,
PSE,MEA,West Bank and Gaza,LMC,11767216976,59.1,2.4,2.7,11.5,10.1,14.2,,,,Yes,Yes,Yes,,Yes,4046901,4.40E+05,,,62621,131344,4572,1.39E+06,,88,,,,,91.5,92.2,,93,,,,0.5,33,,,67,,0.5,,,,Disposal site
PYF,EAS,French Polynesia,HIC,,47,3,3,29,16,2,,,,,Yes,No,No,Yes,273528,,,,,,360,1.47E+05,,,,,,,51,,,,100,,,,,,,,,39,,61,,
QAT,MEA,Qatar,HIC,1.70663E+11,57,4,9,5,11,14,,,,Yes,Yes,Yes,,No,2109568,,9706885,2.90E+04,1.05E+05,6.40E+04,4.50E+05,1000990.016,,,100,,,,100,,,,100,,,,,4,93,,,3,,,,
ROU,ECS,Romania,UMC,2.00217E+11,56.26,4.89,2.5,10.68,11.34,12.33,,2,,Yes,Yes,Yes,Yes,Yes,19815481,1063964,162995232,132268,590300,,915888,4.90E+06,,,,,,,,87.45,,,,,,7.46,,2.37,71.96,,,5.67,,12.54,,Disposal site
RUS,ECS,Russian Federation,UMC,1.65443E+12,28.41,16.82,1.83,19.03,19.7,14.21,,,,Yes,Yes,Yes,Yes,,143201676,,,1.39E+06,1.10E+08,,,6.00E+07,,,,,,,,,,,,,,,,,,95,,4.5,,0.5,,
RWA,SSF,Rwanda,LIC,8805014649,,,,,,,,,,,,,,,11917508,,,5900,,,,4384969,,,,,,,,,,,,,,,,,,,,,,,,
SAU,MEA,Saudi Arabia,HIC,6.90E+11,45.5,4,5,2.5,27,11,,5,,Yes,Yes,yes,,,31557144,,,5.08E+05,6.97E+05,,25207,16125700.58,,,100,,,,100,,,,100,,,,85,,,,,15,,,,Disposal site
SDN,SSF,Sudan,LMC,76149479953,51.4,3.5,1.7,18.9,11.8,12.7,,,,,,,,,38647803,,,5.10E+04,,,,2831291,,,,,,,,,,,,,,,,,82,,18,,,,,
SEN,SSF,Senegal,LIC,16833353304,12,2,2,68,5,9,,2,,No,No,Yes,Yes,,15411614,,,1.50E+04,,,,2454059.25,,,,28,,,21.4,,,,40,,,,5.1,,,43.8,4.7,,,46.4,,
SGP,EAS,Singapore,HIC,2.9917E+11,10.51,0.93,19.12,32.3,14.86,10.58,1.96,5.5,4.26,Yes,Yes,Yes,Yes,Yes,5607283,,1609300,1.00E+05,446870,,,7704300,,,,,,,100,,,,,,,,,37,2,,,61,,,,
SLB,EAS,Solomon Islands,LMC,900859048.9,42.8,6.65,13.15,3.7,6.45,22.35,4.9,,,No,Yes,Yes,No,Yes,563513,,,400,,,273.34,179971.9644,,,,,,,12,,,,60,,,,,,,,,,,19,81,
SLE,SSF,Sierra Leone,LIC,3355384560,,,,,,,,,,,,,,,5439695,,,3400,,,,610222.09,,,,,,,,,,,,,,,,,,,,,,,,
SLV,LCN,El Salvador,LMC,21588556542,65,4,2,7,12,10,,,,,Yes,Yes,Yes,,6164626,,,30100,16465,,,1648996.18,,,,,,,78.8,,,,,,,,,,,13.8,7.9,,78.2,0.1,,
SMR,ECS,San Marino,HIC,1746352442,5.35,5.61,0.9,65.56,13.21,5.6,,1.28,2.49,,,,,,33203,,,,,,,17174.68,,,,,,,,,,,,,,,,,,,,45.05,,54.95,,
SOM,SSF,Somalia,LIC,,,,,,,,,,,,,,,,14317996,,,,,,,2326099.17,,,,,,,,,,,,,,,,,,,,,,,,
SRB,ECS,Serbia,UMC,41308012850,37.62,5.44,1.38,16.72,13.57,12.73,0.4,,12.14,Yes,Yes,Yes,Yes,,7095383,199453,46707848,14388,13475026,,32888,1.84E+06,,,,,,,70,74.67,,,,,,,,,73.91,,,0.76,,25.33,,Other
SSD,SSF,South Sudan,LIC,,,,,,,,,,,,,,,,11177490,,,,,,,2680681,,,,,,,,,,,,,,,,,,,,,,,,
STP,SSF,São Tomé and Príncipe,LMC,256822056.3,,,,,,,,,,,,,,,191266,,,200,,,,25586.5,,,,,,,48.4,,,,,,,,,,,,,,,,,
SUR,LCN,Suriname,UMC,4527379879,57,3,3,24,,11,,,,No,No,No,No,No,526103,,,5.00E+03,,,1270.2,78619.79915,,,15,,,,79.5,48.7,,,70,,,,,,,63,,,,37,,
SVK,ECS,Slovak Republic,HIC,1.04679E+11,42,19,2,1,25,11,,,,Yes,Yes,Yes,Yes,,5423801,920337,4023409,30911,375688,,558605,1.78E+06,,,,,,,,94.34,,,,,,7.29,,10.71,68.72,,,7.62,,5.66,,
SVN,ECS,Slovenia,HIC,50511749002,,,,,,,,,,,Yes,Yes,,,2063531,289773,2071792,26359,155229,,227873,9.26E+05,,,,,,,,93.84,,,,,,7.67,,17.06,22.68,,,46.44,,6.15,,
SWE,ECS,Sweden,HIC,5.60387E+11,23.34,9.15,9.2,,36.4,6.58,,,15.33,Yes,Yes,Yes,,,9799186,2205186,152012352,721671,2568154,,1315108,4.38E+06,,,,,,,,100,,,,,,15.63,,51.2,0.8,,,32.37,,,,
SWZ,SSF,Eswatini,LMC,5246492516,,,,,,,,,,,,,,,1343098,,,5700,,,,218199.47,,,,,,,,,,,,,,,,,,,,,,,,
SXM,LCN,Sint Maarten (Dutch part),HIC,,46,7,7,12,15,13,,,,,Yes,Yes,,Yes,37685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,SSF,Seychelles,HIC,1287449683,48.5,5.2,4.6,25.8,5.9,9.9,0.2,0.5,,,Yes,Yes,Yes,yes,88303,,,1100,,,,4.80E+04,,,,,,,,,,,,,,,,,,,,,,,,
SYR,MEA,Syrian Arab Republic,LIC,,57,3,4,22,7,7,,,,,Yes,Yes,,,20824893,,,,6.80E+04,,4600,4.50E+06,,,75,,,,74,,,,95,,,1.5,,,20,80,,2.5,,,,Disposal site
TCA,LCN,Turks and Caicos Islands,HIC,,21.8,20.5,7.6,2.4,31.5,16.3,,,,,,Yes,Yes,,34900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,SSF,Chad,LIC,12642608725,70,1,2,18,3,6,,,,,,,,,11887202,,,8800,,,,1358850.53,,,,,,,,,,,,,,,,,,,,,,,,
TGO,SSF,Togo,LIC,4264876064,38,2,4,42,4,10,,,,,Yes,Yes,No,,7228915,,,6400,1900,,,1109030.45,,,,,,,,,,,,,,1.8,,,,96.2,,2,,,,
THA,EAS,Thailand,UMC,4.07015E+11,65.52,3.04,1.85,4.74,7.6,17.59,0.46,0.8,,,Yes,Yes,Yes,,68657600,8.22E+07,1.10E+06,384233,3.45E+06,3.74E+07,53868,26853366,,,,6,,,,,,,,37,,,,0.4,27,53.5,,19.1,,,,
TJK,ECS,Tajikistan,LIC,8458800788,,,,,,,,,,No,Yes,Yes,Yes,,8177809,,,,,,,1787400,,,,,,,38.25,,,,,,,,,,,100,,,,,,
TKM,ECS,Turkmenistan,UMC,39563379206,16.18,4.64,11.44,62.54,,2.19,,3.01,,No,Yes,Yes,Yes,,5366277,,,2.20E+04,1.00E+03,32300,,5.00E+05,,,,,,,,,,,,,,,,,100,,,,,,,Disposal Site
TLS,EAS,Timor-Leste,LMC,3765074847,43.6,5.5,10,9.3,10.9,16.5,4.2,,,,Yes,Yes,Yes,,1268671,,,3600,,,53.66,63875,,,,,,,,,,,,,,,,,,,,,,,,
TON,EAS,Tonga,UMC,406237705.3,51.3,5.9,9,8.9,7.4,13.4,4.1,,,,Yes,Yes,Yes,,104951,,,300,,,102.23,17238.20175,,,,25,,,71,,,,,65,,,,,40,,,,,60,,
TTO,LCN,Trinidad and Tobago,HIC,21519942195,27.15,10.15,3.74,17.19,22.6,19.17,,,,Yes,Yes,Yes,Yes,Yes,1328100,,,71.07,123914.1,,250.753,727874,,,,,,,94.31,,,,,,,0.8,12,,,84,,,,3.2,,Disposal Site
TUN,MEA,Tunisia,LMC,48682059522,68,2,4,5,10,11,,,,Yes,Yes,Yes,Yes,Yes,11143908,4.03E+06,,9.00E+04,1.50E+05,1.16E+05,1.60E+04,2.70E+06,,,5,,,,65,,,,80,,,5,,,70,21,,4,,,,Disposal site
TUR,ECS,Turkey,UMC,1.12251E+12,64,2,1,24,6,3,,,,,Yes,Yes,Yes,,78271472,,,6.23E+05,3432426,,,3.13E+07,,,,,,,,88.12,,,,,,1,,,,44,,,54,1,,
TUV,EAS,Tuvalu,UMC,39216157.28,43.6,5.5,10,9.3,10.9,16.5,4.2,,,None,Yes,Yes,None,,11097,,,10,,,5.72,3989.4865,,,,,,,47,,,,100,,,,,,,14.5,,15,,70.5,,
TWN,EAS,,HIC,,23.34,4.11,3.07,14.11,30.01,20.23,0.6,,4.43,,,Yes,Yes,,2.34E+07,,,14036,,,,7.34E+06,,,,,,,,,,,,,,,,64.2,34.8,,1,,,,,
TZA,SSF,Tanzania,LIC,46775259596,,,,,,,,,,,,Yes,,,49082997,,,3.80E+04,,,,9276995,,,,,,,,,,,,,,,,,,69,22.6,,,8.5,,
UGA,SSF,Uganda,LIC,27483055272,74.5,0.8,0.6,10.6,6,7.6,,,,,,,,,35093648,,,2.50E+04,,,,7045049.836,,,,,,,,37.5,,,,,,,,,,87,,6,7,,,
UKR,ECS,Ukraine,LMC,1.24E+11,37,5,4,22,25,7,,,,Yes,Yes,Yes,Yes,,45004645,8.60E+06,1.40E+06,2.77E+05,4.48E+08,5.87E+05,,15242025,,,,,,,75.86,,,,,,,,,2.73,94.07,,,3.2,,,,Other
URY,LCN,Uruguay,HIC,48362932954,53.5,3,5,7.5,20,11,,,,No,Yes,Yes,Yes,,3431552,,,3.70E+04,,,,1260139.509,,,,,,,98,,,,100,,,,61.7,,,17.5,,8,10.5,2.3,,
USA,NAC,United States,HIC,1.69203E+13,14.9,4.4,9,3.2,26.6,12.9,9.5,6.2,13.3,Yes,Yes,Yes,Yes,Yes,318563456,,5.34E+08,2.44E+06,2.88E+07,7.60E+09,2.60E+06,2.58E+08,,,,,,,100,,,,,,,,,12.8,52.6,,,34.6,,,,
UZB,ECS,Uzbekistan,LMC,62469088152,40,3,2,17.5,17.5,2.5,1.5,4,,No,Yes,Yes,Yes,,29774500,,,,,,,4.00E+06,,,,,,,,,,,,,,,,,,60,,,,40,,Disposal site
VCT,LCN,St. Vincent and the Grenadines,UMC,729264939.6,49.6,5.6,3.8,10.5,22.1,8.4,,,,Yes,Yes,Yes,No,Yes,109455,,,900,,,,31561.34925,,95.4,,,,96.2,,,,97.2,,,,0.09,,,99.91,,3.6,,,,,
VEN,LCN,"Venezuela, RB",UMC,,,,,,,,,,,,No,Yes,,,29893080,,,232700,123157,,,9779093.14,,,,,,,100,,,,,,,,,,,,,,,,,
VGB,LCN,British Virgin Islands,HIC,,6.5,18.1,8.6,4.8,33.5,6.3,,22.2,,Yes,Yes,Yes,Yes,Yes,20645,,,,,,,21099.19,,,,,,,97.2,,,,,,,,,80.3,,,,,,19.7,,
VIR,LCN,Virgin Islands (U.S.),HIC,,46,7,7,12,15,13,,,,,Yes,Yes,Yes,,105784,,,,,,,146500,,,,,,,,,,,,,,,,,,,,,,,,
VNM,EAS,Vietnam,LMC,1.64105E+11,61.9,2.18,0.58,15.18,5.2,12.15,0.6,3.74,,No,Yes,Yes,Yes,,86932500,,,1.41E+05,2995153.5,9.60E+06,2.00E+05,9570300,,,42.5,,,,72,,,,84,,,15,,,,,,23,,62,,
VUT,EAS,Vanuatu,LMC,777052317.5,73.4,5.4,3.8,5.7,4.05,6.45,1.2,,,,Yes,Yes,Yes,,270402,,,300,,,139.1,70225.489,,,,,,,12,,,,50,,,,,,,11.3,,37,,51.7,,
WSM,EAS,Samoa,UMC,738041747,42.6,2.2,8.8,19.4,7.2,13,6.8,,,,Yes,Yes,Yes,MNRE publishes monthly environmental newsletters informing the public about solid waste activities and projects.,187665,,,500,,,36.14,27399.09,,,100,,,,100,,,,100,,,,31,,,,,36,,33,,
XKX,ECS,Kosovo,LMC,7129271792,42,6,6,20,8,11,,7,,Yes,Yes,Yes,Yes,,1801800,3880,217241,23,495,,834,3.19E+05,,,35,,,,39,,,,100,,,,66.43,,,33.57,,,,,,
YEM,MEA,"Yemen, Rep.",LIC,11927030389,65,1,6,6,7,10,1,3,1,No,Yes,Yes,No,,27584213,,,4.20E+04,2.10E+04,,,4836820,,,,,,,20,,,,,,,,12,,,25,,8,,47,8,Other
ZAF,SSF,South Africa,UMC,4.21209E+11,16.38165463,5.20021637,16.9104609,45.02064557,9.396918238,7.090104302,,,,Yes,Yes,Yes,,,51729345.36,,,3.21E+05,1319096,,,18457232,,,,,,64,,,,90.5,,,,,72,,,,,28,,,,
ZMB,SSF,Zambia,LMC,27037168289,,,,,,,,,,,,Yes,,,14264756,,,1.50E+04,8.00E+04,,,2608268,,,,,,10,20,,,,,,,,,,,,,,,,,
ZWE,SSF,Zimbabwe,LIC,14818986231,36,5,6,3,27,23,,,,,,Yes,,,12500525,,,1.30E+04,37346,,,1449752,,,,,,63.9,,,,,,,,,,,,,,16,,84,,
